"umlsid"	"parent_1"	"parent_2"	"parent_3"
"C0152419"	"http://bio2rdf.org/meddra:10047091"	"http://bio2rdf.org/meddra:10047066"	"http://bio2rdf.org/meddra:10047065"
"C0154052"	"http://bio2rdf.org/meddra:10057189"	"http://bio2rdf.org/meddra:10047066"	"http://bio2rdf.org/meddra:10047065"
"C0154050"	"http://bio2rdf.org/meddra:10057189"	"http://bio2rdf.org/meddra:10047066"	"http://bio2rdf.org/meddra:10047065"
"C0423798"	"http://bio2rdf.org/meddra:10006513"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0854727"	"http://bio2rdf.org/meddra:10008206"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0240059"	"http://bio2rdf.org/meddra:10008206"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0270191"	"http://bio2rdf.org/meddra:10008206"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0542008"	"http://bio2rdf.org/meddra:10018987"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0151698"	"http://bio2rdf.org/meddra:10018987"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0019101"	"http://bio2rdf.org/meddra:10018987"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0020581"	"http://bio2rdf.org/meddra:10064464"	"http://bio2rdf.org/meddra:10047075"	"http://bio2rdf.org/meddra:10047065"
"C0026691"	"http://bio2rdf.org/meddra:10003231"	"http://bio2rdf.org/meddra:10047116"	"http://bio2rdf.org/meddra:10047065"
"C0542149"	"http://bio2rdf.org/meddra:10052780"	"http://bio2rdf.org/meddra:10047116"	"http://bio2rdf.org/meddra:10047065"
"C0019338"	"http://bio2rdf.org/meddra:10011262"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0021345"	"http://bio2rdf.org/meddra:10015107"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019101"	"http://bio2rdf.org/meddra:10019140"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019348"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0276225"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019357"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0153046"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019359"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019372"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019360"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019364"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0854530"	"http://bio2rdf.org/meddra:10019972"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0021400"	"http://bio2rdf.org/meddra:10022005"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0019693"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853865"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853866"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
