"drugid"	"se"
"DB00531"	"http://bio2rdf.org/umls:C0034065"
"DB00804"	"http://bio2rdf.org/umls:C0037822"
"DB00531"	"http://bio2rdf.org/umls:C0151701"
"DB08826"	"http://bio2rdf.org/umls:C0267792"
"DB00924"	"http://bio2rdf.org/umls:C0027497"
"DB00804"	"http://bio2rdf.org/umls:C0004093"
"DB01394"	"http://bio2rdf.org/umls:C0162429"
"DB00804"	"http://bio2rdf.org/umls:C0917801"
"DB00250"	"http://bio2rdf.org/umls:C0853700"
"DB01068"	"http://bio2rdf.org/umls:C0042267"
"DB00531"	"http://bio2rdf.org/umls:C0740394"
"DB00575"	"http://bio2rdf.org/umls:C0039971"
"DB01068"	"http://bio2rdf.org/umls:C0020517"
"DB00804"	"http://bio2rdf.org/umls:C0043352"
"DB00924"	"http://bio2rdf.org/umls:C0013404"
"DB00924"	"http://bio2rdf.org/umls:C1456784"
"DB00531"	"http://bio2rdf.org/umls:C0027796"
"DB00575"	"http://bio2rdf.org/umls:C0022107"
"DB00804"	"http://bio2rdf.org/umls:C0027769"
"DB00575"	"http://bio2rdf.org/umls:C3203358"
"DB06243"	"http://bio2rdf.org/umls:C0011603"
"DB00804"	"http://bio2rdf.org/umls:C0027765"
"DB00746"	"http://bio2rdf.org/umls:C0231441"
"DB00575"	"http://bio2rdf.org/umls:C0018524"
"DB00746"	"http://bio2rdf.org/umls:C0010520"
"DB00363"	"http://bio2rdf.org/umls:C0836924"
"DB00804"	"http://bio2rdf.org/umls:C0017178"
"DB00531"	"http://bio2rdf.org/umls:C0022876"
"DB00363"	"http://bio2rdf.org/umls:C0011991"
"DB00531"	"http://bio2rdf.org/umls:C0009319"
"DB00363"	"http://bio2rdf.org/umls:C0162297"
"DB00531"	"http://bio2rdf.org/umls:C0085612"
"DB00363"	"http://bio2rdf.org/umls:C1321686"
"DB00531"	"http://bio2rdf.org/umls:C0853149"
"DB08826"	"http://bio2rdf.org/umls:C0025061"
"DB00746"	"http://bio2rdf.org/umls:C0474381"
"DB00804"	"http://bio2rdf.org/umls:C0003578"
"DB08826"	"http://bio2rdf.org/umls:C0243026"
"DB06243"	"http://bio2rdf.org/umls:C0241136"
"DB00924"	"http://bio2rdf.org/umls:C0012833"
"DB00363"	"http://bio2rdf.org/umls:C0023380"
"DB01068"	"http://bio2rdf.org/umls:C0085633"
"DB01394"	"http://bio2rdf.org/umls:C0026848"
"DB00746"	"http://bio2rdf.org/umls:C0035078"
"DB00531"	"http://bio2rdf.org/umls:C0035410"
"DB00804"	"http://bio2rdf.org/umls:C0233494"
"DB00531"	"http://bio2rdf.org/umls:C0014742"
"DB00575"	"http://bio2rdf.org/umls:C0015967"
"DB00746"	"http://bio2rdf.org/umls:C0151825"
"DB00746"	"http://bio2rdf.org/umls:C0018681"
"DB01394"	"http://bio2rdf.org/umls:C0232487"
"DB01394"	"http://bio2rdf.org/umls:C0018681"
"DB00363"	"http://bio2rdf.org/umls:C0042514"
"DB00531"	"http://bio2rdf.org/umls:"
"DB00531"	"http://bio2rdf.org/umls:C0021359"
"DB00363"	"http://bio2rdf.org/umls:C0011603"
"DB01068"	"http://bio2rdf.org/umls:C0520966"
"DB01394"	"http://bio2rdf.org/umls:C0004093"
"DB00575"	"http://bio2rdf.org/umls:C0428977"
"DB06243"	"http://bio2rdf.org/umls:C0151908"
"DB00531"	"http://bio2rdf.org/umls:C0030312"
"DB00531"	"http://bio2rdf.org/umls:C3665347"
"DB00363"	"http://bio2rdf.org/umls:C2830004"
"DB08826"	"http://bio2rdf.org/umls:C0085649"
"DB06243"	"http://bio2rdf.org/umls:C0004093"
"DB00575"	"http://bio2rdf.org/umls:C0011603"
"DB00531"	"http://bio2rdf.org/umls:C0031542"
"DB06243"	"http://bio2rdf.org/umls:C0015230"
"DB00363"	"http://bio2rdf.org/umls:C0037036"
"DB00363"	"http://bio2rdf.org/umls:C0014742"
"DB00861"	"http://bio2rdf.org/umls:C0039070"
"DB00924"	"http://bio2rdf.org/umls:C0043352"
"DB00575"	"http://bio2rdf.org/umls:C0001807"
"DB08826"	"http://bio2rdf.org/umls:C0151740"
"DB00363"	"http://bio2rdf.org/umls:C0011206"
"DB08826"	"http://bio2rdf.org/umls:C0877104"
"DB08826"	"http://bio2rdf.org/umls:C0242301"
"DB01068"	"http://bio2rdf.org/umls:C0012833"
"DB00746"	"http://bio2rdf.org/umls:C0344232"
"DB00575"	"http://bio2rdf.org/umls:C0009676"
"DB06243"	"http://bio2rdf.org/umls:C0702166"
"DB00531"	"http://bio2rdf.org/umls:C0235378"
"DB00531"	"http://bio2rdf.org/umls:C0085669"
"DB00250"	"http://bio2rdf.org/umls:C0031350"
"DB00363"	"http://bio2rdf.org/umls:C0015230"
"DB00804"	"http://bio2rdf.org/umls:C0085631"
"DB00575"	"http://bio2rdf.org/umls:C0042963"
"DB00575"	"http://bio2rdf.org/umls:C0521839"
"DB00363"	"http://bio2rdf.org/umls:C3665347"
"DB00363"	"http://bio2rdf.org/umls:C0271650"
"DB08826"	"http://bio2rdf.org/umls:C0007302"
"DB00250"	"http://bio2rdf.org/umls:C0037199"
"DB00363"	"http://bio2rdf.org/umls:C0003467"
"DB00575"	"http://bio2rdf.org/umls:C0037320"
"DB01068"	"http://bio2rdf.org/umls:C0027769"
"DB06243"	"http://bio2rdf.org/umls:C0033774"
"DB01394"	"http://bio2rdf.org/umls:C0000737"
"DB01068"	"http://bio2rdf.org/umls:C0855242"
"DB00531"	"http://bio2rdf.org/umls:C0003962"
"DB01068"	"http://bio2rdf.org/umls:C0013390"
"DB01068"	"http://bio2rdf.org/umls:C0344232"
"DB00575"	"http://bio2rdf.org/umls:C0004096"
"DB00746"	"http://bio2rdf.org/umls:C0036454"
"DB00363"	"http://bio2rdf.org/umls:C0020649"
"DB00804"	"http://bio2rdf.org/umls:C0278134"
"DB00363"	"http://bio2rdf.org/umls:C0027497"
"DB00804"	"http://bio2rdf.org/umls:C0030252"
"DB01068"	"http://bio2rdf.org/umls:C0037199"
"DB00804"	"http://bio2rdf.org/umls:C0042963"
"DB00829"	"http://bio2rdf.org/umls:C0016658"
"DB00575"	"http://bio2rdf.org/umls:C0040822"
"DB00363"	"http://bio2rdf.org/umls:C0041657"
"DB00531"	"http://bio2rdf.org/umls:C0019061"
"DB08826"	"http://bio2rdf.org/umls:C0034065"
"DB00250"	"http://bio2rdf.org/umls:C0435002"
"DB00363"	"http://bio2rdf.org/umls:C0037763"
"DB00531"	"http://bio2rdf.org/umls:C0013404"
"DB00924"	"http://bio2rdf.org/umls:C0004093"
"DB00804"	"http://bio2rdf.org/umls:C0458219"
"DB00363"	"http://bio2rdf.org/umls:C0023530"
"DB01068"	"http://bio2rdf.org/umls:C0234047"
"DB00531"	"http://bio2rdf.org/umls:C0085692"
"DB00746"	"http://bio2rdf.org/umls:C0029134"
"DB00531"	"http://bio2rdf.org/umls:C0428974"
"DB00531"	"http://bio2rdf.org/umls:C0424605"
"DB00575"	"http://bio2rdf.org/umls:C1260880"
"DB00746"	"http://bio2rdf.org/umls:C0151735"
"DB00575"	"http://bio2rdf.org/umls:C0233459"
"DB00804"	"http://bio2rdf.org/umls:C0027540"
"DB00804"	"http://bio2rdf.org/umls:C0040053"
"DB00531"	"http://bio2rdf.org/umls:C0008031"
"DB00746"	"http://bio2rdf.org/umls:C0030554"
"DB01068"	"http://bio2rdf.org/umls:C0029408"
"DB00924"	"http://bio2rdf.org/umls:C0040034"
"DB01394"	"http://bio2rdf.org/umls:C0015230"
"DB00804"	"http://bio2rdf.org/umls:C0233763"
"DB00531"	"http://bio2rdf.org/umls:C0042487"
"DB00363"	"http://bio2rdf.org/umls:C0549225"
"DB00804"	"http://bio2rdf.org/umls:C0030193"
"DB00924"	"http://bio2rdf.org/umls:C0033975"
"DB00531"	"http://bio2rdf.org/umls:C0595883"
"DB01068"	"http://bio2rdf.org/umls:C0011124"
"DB00363"	"http://bio2rdf.org/umls:C0027051"
"DB06243"	"http://bio2rdf.org/umls:C0012833"
"DB00363"	"http://bio2rdf.org/umls:C0032285"
"DB00531"	"http://bio2rdf.org/umls:C0015934"
"DB00804"	"http://bio2rdf.org/umls:C0080203"
"DB00804"	"http://bio2rdf.org/umls:C0011603"
"DB01394"	"http://bio2rdf.org/umls:C0030312"
"DB06243"	"http://bio2rdf.org/umls:C0016436"
"DB00363"	"http://bio2rdf.org/umls:C0030193"
"DB00746"	"http://bio2rdf.org/umls:C0497365"
"DB00250"	"http://bio2rdf.org/umls:C0041834"
"DB08826"	"http://bio2rdf.org/umls:C0009782"
"DB00531"	"http://bio2rdf.org/umls:C0086565"
"DB00531"	"http://bio2rdf.org/umls:C0029928"
"DB00531"	"http://bio2rdf.org/umls:C0236075"
"DB00363"	"http://bio2rdf.org/umls:C0160390"
"DB01068"	"http://bio2rdf.org/umls:C0042023"
"DB00363"	"http://bio2rdf.org/umls:C0030446"
"DB00804"	"http://bio2rdf.org/umls:C0344232"
"DB00363"	"http://bio2rdf.org/umls:C0274702"
"DB00746"	"http://bio2rdf.org/umls:C0027497"
"DB00531"	"http://bio2rdf.org/umls:C0018801"
"DB00829"	"http://bio2rdf.org/umls:C0019521"
"DB01068"	"http://bio2rdf.org/umls:C0021400"
"DB00575"	"http://bio2rdf.org/umls:C0041912"
"DB00746"	"http://bio2rdf.org/umls:C0948594"
"DB00575"	"http://bio2rdf.org/umls:C0042023"
"DB00575"	"http://bio2rdf.org/umls:C0242184"
