"drugid"	"geneid"
"DB00399"	"2224"
"DB00884"	"2224"
"DB00338"	"495"
"DB00736"	"495"
"DB01129"	"495"
"DB00736"	"495"
"DB00736"	"495"
"DB00318"	"4988"
"DB00647"	"4988"
"DB00652"	"4988"
"DB00813"	"4988"
"DB01183"	"4988"
"DB00454"	"4988"
"DB01192"	"4988"
"DB00193"	"4988"
"DB00956"	"4988"
"DB00899"	"4988"
"DB00333"	"4988"
"DB00295"	"4988"
"DB00327"	"4988"
"DB00854"	"4988"
"DB01497"	"4988"
"DB00318"	"4988"
"DB01081"	"4988"
"DB00497"	"4988"
"DB00956"	"4988"
"DB00673"	"6869"
"DB00648"	"1586"
"DB01235"	"1812"
"DB00800"	"1812"
"DB01186"	"1812"
"DB00800"	"1812"
"DB01186"	"1812"
"DB00977"	"2100"
"DB00655"	"2100"
"DB00255"	"2100"
"DB02187"	"2100"
"DB00067"	"554"
"DB00429"	"5737"
"DB00905"	"5737"
"DB01086"	"6326"
"DB00280"	"6326"
"DB00281"	"6326"
"DB00252"	"6326"
"DB00909"	"6326"
"DB00273"	"6326"
"DB00807"	"6326"
"DB01195"	"6326"
"DB00907"	"6329"
"DB00252"	"6329"
"DB00273"	"6329"
"DB00280"	"6329"
"DB01086"	"6329"
"DB00807"	"6329"
"DB01195"	"6329"
"DB01126"	"6715"
"DB00277"	"134"
"DB00640"	"134"
"DB01223"	"134"
"DB00824"	"134"
"DB00824"	"136"
"DB00477"	"3269"
"DB01224"	"3269"
"DB00985"	"3269"
"DB00334"	"3269"
"DB00455"	"3269"
"DB00637"	"3269"
"DB00737"	"3269"
"DB00768"	"3269"
"DB01224"	"3269"
"DB01084"	"3269"
"DB00920"	"3269"
"DB00366"	"3269"
"DB00950"	"3269"
"DB01106"	"3269"
"DB00427"	"3269"
"DB00792"	"3269"
"DB01619"	"3269"
"DB00751"	"3269"
"DB01620"	"3269"
"DB00557"	"3269"
"DB01075"	"3269"
"DB01176"	"3269"
"DB00967"	"3269"
"DB01075"	"3269"
"DB00405"	"3269"
"DB01075"	"3269"
"DB00283"	"3269"
"DB01237"	"3269"
"DB01176"	"3269"
"DB01069"	"3269"
"DB01195"	"3752"
"DB01118"	"3752"
"DB00398"	"3815"
"DB01254"	"3815"
"DB00113"	"4582"
"DB01240"	"5739"
"DB01088"	"5739"
"DB00945"	"5743"
"DB00605"	"5743"
"DB00328"	"5743"
"DB00788"	"5743"
"DB00500"	"5743"
"DB00991"	"5743"
"DB00482"	"5743"
"DB00465"	"5743"
"DB03585"	"5743"
"DB04552"	"5743"
"DB00963"	"5743"
"DB01283"	"5743"
"DB02266"	"5743"
"DB00989"	"590"
"DB00313"	"18"
"DB00334"	"1813"
"DB00734"	"1813"
"DB01224"	"1813"
"DB01100"	"1813"
"DB01186"	"1813"
"DB01235"	"1813"
"DB00433"	"1813"
"DB00246"	"1813"
"DB00589"	"1813"
"DB01618"	"1813"
"DB00623"	"1813"
"DB00268"	"1813"
"DB01224"	"1813"
"DB01186"	"1813"
"DB00391"	"1813"
"DB00831"	"1813"
"DB00409"	"1813"
"DB01200"	"1813"
"DB00850"	"1813"
"DB00409"	"1813"
"DB00906"	"6529"
"DB00808"	"6559"
"DB01325"	"6559"
"DB00880"	"6559"
"DB00880"	"6559"
"DB00398"	"673"
"DB00409"	"10280"
"DB00409"	"10280"
"DB00641"	"3156"
"DB00227"	"3156"
"DB01095"	"3156"
"DB00585"	"3274"
"DB00927"	"3274"
"DB00907"	"6530"
"DB00579"	"6530"
"DB00726"	"6530"
"DB00285"	"6530"
"DB01105"	"6530"
"DB00322"	"7298"
"DB00266"	"79001"
"DB00986"	"1131"
"DB01223"	"135"
"DB00277"	"135"
"DB00824"	"135"
"DB01100"	"1814"
"DB01235"	"1814"
"DB00334"	"1814"
"DB01224"	"1814"
"DB01224"	"1814"
"DB00624"	"367"
"DB01185"	"367"
"DB00273"	"6334"
"DB00281"	"6334"
"DB00252"	"6334"
"DB00909"	"6334"
"DB00280"	"6334"
"DB00807"	"6334"
"DB01195"	"6334"
"DB01254"	"6714"
"DB01195"	"81033"
"DB01254"	"1969"
"DB01126"	"6716"
"DB02772"	"80834"
"DB01744"	"8989"
"DB00825"	"8989"
"DB00960"	"155"
"DB01203"	"155"
"DB00741"	"2908"
"DB00959"	"2908"
"DB00180"	"2908"
"DB01222"	"2908"
"DB01234"	"2908"
"DB00620"	"2908"
"DB01260"	"2908"
"DB01224"	"3356"
"DB00734"	"3356"
"DB00334"	"3356"
"DB01224"	"3356"
"DB00396"	"5241"
"DB00717"	"5241"
"DB00991"	"5742"
"DB00712"	"5742"
"DB00328"	"5742"
"DB00605"	"5742"
"DB00788"	"5742"
"DB00812"	"5742"
"DB03585"	"5742"
"DB00465"	"5742"
"DB02266"	"5742"
"DB00907"	"6335"
"DB00252"	"6335"
"DB00273"	"6335"
"DB00909"	"6335"
"DB00807"	"6335"
"DB01195"	"6335"
"DB01136"	"153"
"DB01203"	"153"
"DB01118"	"153"
"DB00960"	"154"
"DB01136"	"154"
"DB00589"	"3350"
"DB01285"	"4159"
"DB01284"	"4159"
"DB01285"	"4160"
"DB01284"	"4160"
"DB00104"	"6751"
"DB00104"	"6754"
"DB00104"	"6755"
"DB00652"	"4986"
"DB01183"	"4986"
"DB01497"	"4986"
"DB00099"	"1441"
"DB00190"	"1644"
"DB00968"	"1644"
"DB00981"	"43"
"DB00989"	"43"
"DB00273"	"6328"
"DB00281"	"6328"
"DB00252"	"6328"
"DB00280"	"6328"
"DB00907"	"6328"
"DB01195"	"6328"
"DB00807"	"6328"
"DB01086"	"6336"
"DB00281"	"6336"
"DB00907"	"6336"
"DB00807"	"6336"
"DB00907"	"6531"
"DB00579"	"6531"
"DB01105"	"6531"
"DB00887"	"6557"
"DB00903"	"6557"
"DB00907"	"3757"
"DB01195"	"3757"
"DB01118"	"3757"
"DB01118"	"3760"
"DB00412"	"5468"
"DB00579"	"6532"
"DB00726"	"6532"
"DB00907"	"6532"
"DB01105"	"6532"
"DB00285"	"6532"
"DB01118"	"3767"
"DB00977"	"2099"
"DB00255"	"2099"
"DB02187"	"2099"
"DB00006"	"2147"
"DB01118"	"3762"
"DB01118"	"3784"
"DB00107"	"5021"
"DB00067"	"552"
"DB00067"	"553"
"DB00273"	"6323"
"DB00281"	"6323"
"DB01086"	"6323"
"DB00252"	"6323"
"DB00909"	"6323"
"DB00907"	"6323"
"DB00280"	"6323"
"DB00807"	"6323"
"DB01195"	"6323"
"DB00334"	"1815"
"DB01224"	"1815"
"DB01224"	"1815"
"DB01259"	"1956"
"DB01118"	"3764"
"DB00398"	"3791"
"DB01118"	"5243"
"DB00929"	"5732"
"DB00917"	"5732"
"DB00887"	"6558"
"DB00903"	"6558"
"DB00912"	"6833"
"DB00106"	"2798"
"DB01284"	"4158"
"DB01183"	"4985"
"DB01497"	"4985"
"DB00398"	"5159"
"DB01254"	"5159"
"DB01241"	"5465"
"DB00636"	"5465"
"DB00153"	"7421"
"DB00975"	"8654"
"DB01259"	"2064"
"DB00825"	"79054"
"DB01197"	"1636"
"DB00178"	"1636"
"DB00881"	"1636"
"DB00177"	"185"
"DB00876"	"185"
"DB00398"	"2322"
"DB01254"	"25"
"DB01224"	"3362"
"DB01224"	"3362"
"DB01118"	"3768"
"DB00338"	"496"
"DB00736"	"496"
"DB00736"	"496"
"DB01129"	"496"
"DB00736"	"496"
"DB01086"	"6331"
"DB00907"	"6331"
"DB00252"	"6331"
"DB00909"	"6331"
"DB00807"	"6331"
"DB01195"	"6331"
"DB00279"	"7067"
"DB00451"	"7067"
"DB01276"	"2740"
"DB01195"	"90134"
"DB00035"	"2157"
"DB00642"	"2618"
"DB00642"	"2618"
"DB00642"	"2618"
"DB00188"	"5689"
"DB00035"	"554"
"DB00131"	"134"
"DB00513"	"5340"
"DB00026"	"7850"
"DB00508"	"1813"
"DB00502"	"1813"
"DB00524"	"6559"
"DB01261"	"1803"
"DB00016"	"2057"
"DB00012"	"2057"
"DB00439"	"3156"
"DB01076"	"3156"
"DB01095"	"3156"
"DB00439"	"3156"
"DB00175"	"3156"
"DB01098"	"3156"
"DB00863"	"3274"
"DB00501"	"3274"
"DB00501"	"3274"
"DB00034"	"3454"
"DB00011"	"3454"
"DB00060"	"3454"
"DB00022"	"3454"
"DB00105"	"3454"
"DB00008"	"3454"
"DB00069"	"3454"
"DB00188"	"5693"
"DB00540"	"6530"
"DB00458"	"6530"
"DB00934"	"6530"
"DB00285"	"6530"
"DB01151"	"6530"
"DB00321"	"6530"
"DB01105"	"6530"
"DB00726"	"6530"
"DB00234"	"6530"
"DB00182"	"6530"
"DB00321"	"6530"
"DB01242"	"6530"
"DB00234"	"6530"
"DB01577"	"6530"
"DB00540"	"6530"
"DB01255"	"6530"
"DB00476"	"6530"
"DB00458"	"6530"
"DB00065"	"7124"
"DB00051"	"7124"
"DB00642"	"7298"
"DB00642"	"7298"
"DB00642"	"7298"
"DB00682"	"79001"
"DB00946"	"79001"
"DB00682"	"79001"
"DB00682"	"79001"
"DB00498"	"79001"
"DB01591"	"1131"
"DB00383"	"1131"
"DB01036"	"1131"
"DB00383"	"1131"
"DB00496"	"1131"
"DB00624"	"367"
"DB00624"	"367"
"DB00984"	"367"
"DB00984"	"367"
"DB00624"	"367"
"DB00984"	"367"
"DB00624"	"367"
"DB02901"	"367"
"DB04839"	"367"
"DB00208"	"64805"
"DB00758"	"64805"
"DB00208"	"64805"
"DB00082"	"2690"
"DB00052"	"2690"
"DB00348"	"3242"
"DB00021"	"6344"
"DB00112"	"7422"
"DB01744"	"8989"
"DB00066"	"2492"
"DB00066"	"2492"
"DB00687"	"2908"
"DB00959"	"2908"
"DB00620"	"2908"
"DB00394"	"2908"
"DB00764"	"2908"
"DB00959"	"2908"
"DB00443"	"2908"
"DB00620"	"2908"
"DB00620"	"2908"
"DB00860"	"2908"
"DB01234"	"2908"
"DB00860"	"2908"
"DB00860"	"2908"
"DB00443"	"2908"
"DB00860"	"2908"
"DB00443"	"2908"
"DB01234"	"2908"
"DB00860"	"2908"
"DB00860"	"2908"
"DB00443"	"2908"
"DB01234"	"2908"
"DB01234"	"2908"
"DB01234"	"2908"
"DB01234"	"2908"
"DB00443"	"2908"
"DB01234"	"2908"
"DB01234"	"2908"
"DB00443"	"2908"
"DB00959"	"2908"
"DB00959"	"2908"
"DB00596"	"2908"
"DB01130"	"2908"
"DB00959"	"2908"
"DB01013"	"2908"
"DB01384"	"2908"
"DB00240"	"2908"
"DB00620"	"2908"
"DB00764"	"2908"
"DB00687"	"2908"
"DB00838"	"2908"
"DB00860"	"2908"
"DB00324"	"2908"
"DB00180"	"2908"
"DB00547"	"2908"
"DB00764"	"2908"
"DB01149"	"3356"
"DB01149"	"3356"
"DB01149"	"3358"
"DB01149"	"3358"
"DB01079"	"3360"
"DB01079"	"3360"
"DB01037"	"4129"
"DB01367"	"4129"
"DB00717"	"5241"
"DB00506"	"5241"
"DB00603"	"5241"
"DB00351"	"5241"
"DB00294"	"5241"
"DB00441"	"6240"
"DB00111"	"3559"
"DB00074"	"3559"
"DB00040"	"2642"
"DB00131"	"140"
"DB00019"	"1441"
"DB01105"	"6531"
"DB00182"	"6531"
"DB01255"	"6531"
"DB01577"	"6531"
"DB00540"	"6532"
"DB00458"	"6532"
"DB00321"	"6532"
"DB00285"	"6532"
"DB01151"	"6532"
"DB01105"	"6532"
"DB00182"	"6532"
"DB00726"	"6532"
"DB00321"	"6532"
"DB01242"	"6532"
"DB00540"	"6532"
"DB01577"	"6532"
"DB00476"	"6532"
"DB00458"	"6532"
"DB00035"	"552"
"DB00035"	"553"
"DB00682"	"1728"
"DB00682"	"1728"
"DB00682"	"1728"
"DB00050"	"2798"
"DB00014"	"2798"
"DB00136"	"7421"
"DB00034"	"3455"
"DB00060"	"3455"
"DB00011"	"3455"
"DB00069"	"3455"
"DB00022"	"3455"
"DB00105"	"3455"
"DB00008"	"3455"
"DB00026"	"3554"
"DB00519"	"1636"
"DB00046"	"3643"
"DB00047"	"3643"
"DB00017"	"799"
"DB02383"	"231"
"DB00494"	"1312"
"DB00569"	"2159"
"DB00213"	"495"
"DB00448"	"495"
"DB01551"	"4988"
"DB00497"	"4988"
"DB00750"	"8911"
"DB00550"	"1733"
"DB00988"	"1812"
"DB00988"	"1812"
"DB00675"	"2100"
"DB00872"	"554"
"DB00429"	"5737"
"DB01182"	"6326"
"DB01429"	"6326"
"DB00527"	"6326"
"DB01056"	"6326"
"DB00680"	"6326"
"DB01426"	"6326"
"DB00776"	"6326"
"DB00564"	"6326"
"DB01429"	"6329"
"DB01182"	"6329"
"DB00527"	"6329"
"DB01056"	"6329"
"DB00680"	"6329"
"DB00532"	"6329"
"DB00555"	"6329"
"DB00765"	"7054"
"DB00201"	"134"
"DB00277"	"134"
"DB00277"	"134"
"DB01223"	"134"
"DB00277"	"134"
"DB00559"	"1910"
"DB00477"	"3269"
"DB00835"	"3269"
"DB00568"	"3269"
"DB01071"	"3269"
"DB00427"	"3269"
"DB04890"	"3269"
"DB00751"	"3269"
"DB00366"	"3269"
"DB00952"	"3355"
"DB01118"	"3752"
"DB01244"	"3752"
"DB02266"	"5743"
"DB00533"	"5743"
"DB00939"	"5743"
"DB00861"	"5743"
"DB01009"	"5743"
"DB00989"	"590"
"DB00677"	"590"
"DB00988"	"1813"
"DB00477"	"1813"
"DB00696"	"1813"
"DB00353"	"1813"
"DB01233"	"1813"
"DB00320"	"1813"
"DB00589"	"1813"
"DB01233"	"1813"
"DB00988"	"1813"
"DB00320"	"1813"
"DB00450"	"1813"
"DB06144"	"1813"
"DB00850"	"1813"
"DB00363"	"1813"
"DB00952"	"3354"
"DB00661"	"3743"
"DB01021"	"6559"
"DB00562"	"6559"
"DB00436"	"6559"
"DB00774"	"6559"
"DB00863"	"3274"
"DB00543"	"6530"
"DB00104"	"6752"
"DB01036"	"1131"
"DB00496"	"1131"
"DB00277"	"135"
"DB00277"	"135"
"DB01223"	"135"
"DB00277"	"135"
"DB00988"	"1814"
"DB00988"	"1814"
"DB00413"	"1814"
"DB00624"	"367"
"DB01420"	"367"
"DB00665"	"367"
"DB01429"	"6334"
"DB00527"	"6334"
"DB01182"	"6334"
"DB01056"	"6334"
"DB00680"	"6334"
"DB00532"	"6334"
"DB00564"	"6334"
"DB00758"	"64805"
"DB00668"	"155"
"DB01210"	"155"
"DB00866"	"155"
"DB01064"	"155"
"DB01064"	"155"
"DB01064"	"155"
"DB00668"	"155"
"DB00449"	"155"
"DB01214"	"155"
"DB00368"	"155"
"DB00852"	"155"
"DB00852"	"155"
"DB00521"	"155"
"DB00866"	"155"
"DB00668"	"155"
"DB01364"	"155"
"DB00373"	"155"
"DB00559"	"1909"
"DB01380"	"2908"
"DB01013"	"2908"
"DB01410"	"2908"
"DB00663"	"2908"
"DB00873"	"2908"
"DB00838"	"2908"
"DB00443"	"2908"
"DB00860"	"2908"
"DB00247"	"3356"
"DB00656"	"3356"
"DB00247"	"3358"
"DB01233"	"3360"
"DB01233"	"3360"
"DB01367"	"4129"
"DB00367"	"5241"
"DB00351"	"5241"
"DB00378"	"5241"
"DB01431"	"5241"
"DB02266"	"5742"
"DB00939"	"5742"
"DB01399"	"5742"
"DB01009"	"5742"
"DB00784"	"5742"
"DB00441"	"6240"
"DB00527"	"6335"
"DB01429"	"6335"
"DB01182"	"6335"
"DB00680"	"6335"
"DB01056"	"6335"
"DB00776"	"6335"
"DB00555"	"6335"
"DB00532"	"6335"
"DB01210"	"153"
"DB00668"	"153"
"DB01182"	"153"
"DB00612"	"153"
"DB00187"	"153"
"DB01118"	"153"
"DB00841"	"153"
"DB00489"	"153"
"DB00866"	"153"
"DB01064"	"153"
"DB00449"	"153"
"DB01064"	"153"
"DB00668"	"153"
"DB01214"	"153"
"DB01064"	"153"
"DB00852"	"153"
"DB00852"	"153"
"DB00264"	"153"
"DB00368"	"153"
"DB00521"	"153"
"DB00866"	"153"
"DB00521"	"153"
"DB01193"	"153"
"DB00668"	"153"
"DB00373"	"153"
"DB00373"	"153"
"DB00195"	"153"
"DB00598"	"153"
"DB00871"	"154"
"DB01064"	"154"
"DB00489"	"154"
"DB01210"	"154"
"DB00866"	"154"
"DB00867"	"154"
"DB00668"	"154"
"DB00983"	"154"
"DB00938"	"154"
"DB01064"	"154"
"DB01001"	"154"
"DB00668"	"154"
"DB01064"	"154"
"DB00449"	"154"
"DB00867"	"154"
"DB01505"	"154"
"DB01214"	"154"
"DB00983"	"154"
"DB00368"	"154"
"DB00852"	"154"
"DB00852"	"154"
"DB00221"	"154"
"DB01407"	"154"
"DB01408"	"154"
"DB01408"	"154"
"DB00866"	"154"
"DB00521"	"154"
"DB01274"	"154"
"DB00368"	"154"
"DB00373"	"154"
"DB00571"	"154"
"DB01597"	"1800"
"DB01597"	"1800"
"DB00988"	"1816"
"DB00988"	"1816"
"DB00010"	"2692"
"DB00952"	"3350"
"DB00247"	"3350"
"DB00490"	"3350"
